TicketPromMes,RentaPromMes
116.09,23.24
92.05,21.09
64.28,14.19
106.42,39.24
65.9,16.36
63.58,14.52
116.26,33.38
59.28,14.7
64.54,19.35
74.23,24.98
90.24,25.05
46.77,8.25
48.59,14.52
51.4,13.98
50.31,16.28
45.34,10.67
54.59,18.78
51.92,12.14
66.52,24.66
48.91,9.7
71.26,17.6
119.22,29.66
58.72,18.58
112.19,43.08
50.26,12.81
52.82,11.9
70.23,19.15
69.99,17.91
82.84,16.7
44.72,15.51
121.4,30.13
64.62,20.33
71.74,17.24
74.13,18.74
69.54,14.88
66.07,16.41
89.22,23.2
57.63,17.58
125.67,34.8
58.78,15.25
72.84,20.16
60.77,13.45
119.18,30.38
71.08,19.81
75.95,21.89
60.24,22.97
73.5,16.48
57.46,19.7
58.09,10.25
74.05,20.67
84.65,15.59
55.71,17.47
72.59,19.19
45.04,13.51
58.88,13.76
76.8,19.28
55.2,14.54
69.12,16.74
67.01,17.68
72.93,25.7
101.97,33.5
61.81,14.09
88.12,21.86
78.2,17.14
68.24,16.51
49.48,13.01
56.18,13.02
91.66,26.78
111.51,37.31
43.4,15.83
88.21,18.88
90.88,27.21
44.38,11.7
92.01,33.56
91.89,30.75
63.89,12.6
49.31,9.14
95.57,16.62
60.41,11.91
65.47,23.07
78.22,18
54.11,15.51
60.44,20.57
41.74,13.82
93.58,27.01
98.09,23.05
51.81,15.77
99.47,28.18
64.42,15.86
68.08,16.47
78.53,23.96
83.38,30.91
56.45,12.43
86.25,22.73
115.39,26.58
96.27,28.78
115.9,34.16
79.86,30.69
54.91,19.76
56.53,14.87
49.68,11.62
101.4,21.86
55.08,18.33
112.01,34.99
87.36,23.02
103.2,23.07
90.95,28.52
73.87,19.8
60.73,15.93
42.9,9.76
93.45,23.55
119.36,43.03
55.25,13.49
71.57,21.21
60,14.26
52.56,14.41
49.48,12.8
49.47,15.22
50.04,10.81
56.69,17.03
48.9,13.16
54.05,14.85
56.06,15.55
48.81,16.53
57.97,10.48
74.43,18.45
102.58,19.25
95.06,20.16
74.31,15.08
108.08,23.78
46.2,7.92
80.63,28.07
70.26,22.57
49.66,8.89
92.24,29.01
65.81,19.71
83.93,24.83
70.36,23.37
58.05,18.18
96.03,22.04
52.28,14.63
114.33,35.27
83.76,28.63
114.74,29.31
57.79,18.17
42.17,10.56
45.62,7.62
99.07,27.87
50.46,17.03
121.54,37.03
68.44,17.36
55.05,16.4
79.8,18.63
46.64,8.64
76.9,13.47
62.07,19.25
68.1,19.06
72.75,18.1
104.53,20.41
42.23,8.01
48.99,14.35
80.23,13.42
95.03,28.43
70.53,15.64
48.8,18.2
71.01,24.34
60.34,17.78
106.3,30.7
48.43,17.7
68.34,18.15
85.47,23.13
70.26,20.82
73.88,18.49
75.83,15.43
52.39,16.59
43.45,9.09
70.35,18.01
111.71,35.52
104.4,27.28
77.81,20.78
85.64,22.02
55.03,14.67
50.85,16.56
90.45,23.15
46.77,15.96
48.22,9.38
51.67,14.99
44.41,11.3
42.18,7.74
100.39,38.66
48.96,16.27
67.78,16.08
65.53,20.36
111.96,21.81
86.87,23.82
62.03,16.18
67.69,16.6
65.44,16.17
43.77,12.18
111.27,22.54
69.04,14.5
83.31,18.07
59.16,14.75
87.14,15.85
73.74,27.57
116.44,28.78
48.35,8.51
68.64,17.63
70.79,16.92
43.49,10.92
49.02,14.29
52.87,11.51
121.78,28.19
54.17,10.88
69.54,25.35
98.46,16.37
68.95,20.82
94.94,27.3
89.13,22.39
85.45,19.73
59.97,15.1
56.87,12.08
88.24,22.11
124.15,33.27
59.68,19.25
48.07,12.84
75.64,22.91
77.03,19.79
58.4,15.98
79.87,19.48
57.41,11.42
65.23,12.49
48.43,12.65
109.78,26.93
73.27,12.59
54.21,14.39
46.06,14.47
74.3,16.74
91.06,28.86
94.38,24.79
75.47,16.69
48.11,14.58
93.8,17.39
50.68,9.6
58.13,12.47
116.23,29.54
44.53,13.14
53.45,14.43
69.96,20.05
55.31,16.08
64.84,16.34
69.27,20.89
94.13,29.49
100.69,22.69
48.98,15.4
72.13,16.16
99.35,24.44
59.81,13.77
82.19,20.5
69.15,23.6
81.26,14.07
58.22,14.87
57.06,13.22
72.25,24.05
49.76,18.57
50.39,13.72
99.37,23.68
113.68,28.63
66.69,14.75
84.87,27.68
51.44,14.15
50.07,15.79
84,25.42
121.94,38.51
55.96,17.25
43.97,11.28
99.61,27.32
70.94,12.8
84.37,22.8
57.23,12.61
118.92,38.04
113.11,30
55.34,15.91
41.03,10.63
59.07,11.41
71.53,18.55
67.07,16.73
57.16,8.78
55.61,17.74
59.99,19.14
99.45,30.81
58.12,13.26
99.95,31.44
49.44,9.73
51.12,11.16
72.44,15.35
55.59,15.53
77.19,21.3
43.57,12.89
74.72,16.74
55.17,14.81
49.37,13.6
67.18,11.17
62.42,21.38
92.98,33.23
50.27,14.79
68.26,25.08
72.61,18.53
63.08,22.24
63.46,15.88
86.49,14.02
48.98,13.36
71.68,21.07
85.99,31.25
92.2,33.24
55.16,11.4
96.47,18.16
47.71,14.33
57.34,16.24
85.53,22.35
48.57,10.06
88.33,17.26
85.74,23.64
75.58,18.81
63.39,12.07
50.02,16.4
77.87,19.56
65.17,17.18
61.53,17.18
59.5,19.05
54.51,15.65
73.32,23.79
69.1,17
98.15,30.2
50.54,8.93
43.31,11.98
59.07,14.4
57.75,17.37
70.42,24.54
49.86,16.37
53.46,11.15
51.52,11
61.77,17.23
68.98,16
51.31,15.56
80.62,25.23
57,13
43.99,11.18
56.48,11.82
74.04,18.53
57.3,11.91
50.08,15.77
56.46,16.12
52.18,18.92
82.26,24.11
65.02,15.78
90.73,22.01
60.84,18.54
45,11.93
62.21,18.16
55.23,18.63
100.07,38.33
41.87,11.17
51.54,14.97
50.92,9.76
78.63,19.14
72.53,22.73
48.29,13.96
69.94,21.78
61.72,10.77
58.76,11.04
96.25,28.83
58.31,15.81
87.88,26.81
59.79,14.43
56.7,18.22
49.46,15.85
99.13,27.07
58.25,14.64
69.35,21.29
53.44,15.33
54.4,18.57
77.99,15.82
60.27,22.78
68.87,21.52
76.5,22.61
69.38,20.82
51.81,17.11
65.47,19.13
70.49,21.34
68.94,14.75
76.48,18.22
75.21,22.25
58.06,18.41
83.61,19.54
70.95,21.89
55.74,12.77
101.87,35.96
64.06,20.29
101.8,26.91
69.11,16.82
44.19,9.73
72.11,14.02
61.06,22.29
86.78,15.41
57.2,17.23
92.24,16.06
99,31.82
84.19,19.87
68.9,22.92
79.93,18.1
77.68,16.97
51.22,15.28
102.14,38.93
72.81,17.56
68.38,13.93
76.97,20.17
97.99,26.49
88.34,24.6
50.28,14.02
92.96,21.09
51.67,12.43
104.81,31.18
45.85,13.2
78.61,20.4
113.81,30.52
51.36,16.26
73.39,20.28
43.28,14.47
62.99,16.13
62.71,11.11
98.49,17.72
89.06,21.8
58.5,15.88
74.87,18.01
50.72,19.13
47.2,12.01
102.71,22.67
121.76,32.79
76.23,19.13
60.01,14.25
75.5,19.67
77.86,19.41
52.56,15.51
92.15,33
67.23,15.28
49.78,12.56
121.37,33.22
104.08,34.9
51.51,13.25
69.91,17.2
97.49,23.66
69.36,22.62
74.92,16.7
54.58,17.24
62.79,15.81
46.4,13.69
105.5,32.12
45.61,16.87
66.53,19.59
56.19,10.22
82.71,24.96
70.24,15.39
54.26,19.63
47.41,10.05
72.89,19.88
64.27,18.4
50.31,14.54
94.22,33.68
72.34,13.42
113.56,21.76
46.56,13.07
52.57,13.22
93.14,19.35
51.83,12.2
124.36,41.61
102.43,24.44
44.11,11.6
65.08,19.12
75,27.7
106,20.12
89.6,21.22
73.07,24.12
88.72,33.86
75.07,20.31
53.55,11.68
57.53,16.75
66.94,19.49
49.69,14.47
66.78,19.44
102.45,29.83
99.94,29.1
112.72,32.82
51.28,14.93
79.13,23.04
54.32,15.81
87.13,25.37
110.26,32.1
78.14,22.75
76.9,22.39
116,33.77
76.01,22.13
46.78,13.62
114.34,33.29
89.65,26.1
109.1,31.76
123.56,35.97
134.57,39.18
58.09,16.91
83.29,24.25
51.06,14.87
58.95,17.16
71.76,20.89
89.93,26.18
126.39,36.8
65.49,19.07
108.04,31.45
70.2,20.44
57.9,16.86
111.56,32.48
69.08,20.11
117.81,34.3
130.52,38
118.84,34.6
110.23,32.09
64.07,18.65
59.86,17.43
143.5,41.78
88.66,25.81
54.08,15.75
87.52,25.48
120.02,34.94
88.82,25.86
77.08,22.44
81.2,23.64
66.85,19.46
76.63,22.31
66.19,19.27
72.39,21.07
81.22,23.65
97.16,28.29
125.93,36.66
64.97,18.92
87.93,25.6
84.15,24.5
115.25,33.55
105.39,30.68
57.73,16.81
135.22,39.37
93,27.08
112.27,32.69
115.9,33.74
69.07,20.11
101.76,29.63
120.94,35.21
60.19,17.52
94.2,27.42
51.01,14.85
64.26,18.71
137.86,40.14
72.15,21.01
94.16,27.41
109.23,31.8
122.04,35.53
88.6,25.8
98.86,28.78
96.55,28.11
87.19,25.38
119.39,34.76
72.35,21.06
57.12,16.63
104.36,30.38
79.56,23.16
53.55,15.59
126.57,36.85
122.08,35.54
94.11,27.4
75.36,21.94
68.78,20.02
47.92,13.95
148.49,43.23
139.05,40.48
66.83,19.46
80.13,23.33
58.13,16.92
107.53,31.31
67.64,19.69
53.99,15.72
106.68,31.06
82.07,23.89
88.22,25.68
74.52,21.7
87.24,25.4
79.38,23.11
78.14,22.75
55.7,16.22
85.91,25.01
45.97,13.38
119.32,34.74
107.5,31.3
104.69,30.48
80.89,23.55
79.06,23.02
93.56,27.24
93.43,27.2
90.9,26.46
87.81,25.56
66.71,19.42
69.08,20.11
78.19,22.77
62.02,18.06
52.79,15.37
65.24,19
74.22,21.61
96.34,28.05
106.22,30.92
101.16,29.45
66.9,19.48
95.08,27.68
59.99,17.46
69.7,20.29
108.14,31.48
53.92,15.7
80.19,23.35
86.15,25.08
102.66,29.89
117.3,34.15
71.47,20.81
104.73,30.49
117.86,34.31
47.12,13.72
81.58,23.75
99.85,29.07
86.39,25.15
120.91,35.2
90.28,26.28
70.6,20.55
62.28,18.13
112.04,32.62
68.81,20.03
79.33,23.1
88.76,25.84
130.33,37.94
80.32,23.38
116.44,33.9
48.56,14.14
120.84,35.18
66.14,19.26
61.64,17.95
136.06,39.61
57.61,16.77
53.68,15.63
124.7,36.3
55.11,16.04
125.6,36.57
96.15,27.99
124.87,36.35
68.92,20.06
65.17,18.97
51.72,15.06
81.57,23.75
84.37,24.56
78.49,22.85
74.31,21.64
66.07,19.24
92.98,27.07
141.89,41.31
71.4,20.79
100.44,29.24
127.1,37
133.98,39.01
97.47,28.38
139.51,40.62
63.93,18.61
66.47,19.35
85.35,24.85
112.64,32.79
82.64,24.06
145.16,42.26
69.35,20.19
137.99,40.17
60.54,17.63
56.56,16.47
117.81,34.3
77.96,22.7
100.25,29.19
110.93,32.3
67.56,19.67
79.89,23.26
98.92,28.8
63.47,18.48
64.85,18.88
78.24,22.78
91.92,26.76
72.22,21.03
67.23,19.57
98.92,28.8
47.05,13.7
65.43,19.05
45,13.1
104.76,30.5
112.54,32.76
116.09,33.8
81.73,23.8
93.5,27.22
97.08,28.26
73.36,21.36
55.97,16.3
87.7,25.53
53.64,15.62
71.76,20.89
76.28,22.21
82.44,24
76.67,22.32
129.14,37.6
65.45,19.05
91.32,26.59
113.9,33.16
81.25,23.66
99,28.82
97.64,28.43
74.19,21.6
61.51,17.91
89.84,26.16
67.58,19.68
62.53,18.2
61.69,17.96
139.23,40.54
85.96,25.03
119.19,34.7
107.89,31.41
126.59,36.85
92.39,26.9
110.72,32.23
59.83,17.42
71,20.67
62.75,18.27
97.94,28.52
100.29,29.2
114.5,33.33
78.98,22.99
89.26,25.99
98.61,28.71
64.67,18.83
70.86,20.63
73.91,21.52
86.37,25.14
109.87,31.99
80.92,23.56
132.97,38.71
96.28,28.03
124.79,36.33
79.45,23.13
57.85,16.84
72.15,21.01
59.28,17.26
74.35,21.65
133.55,38.88
77.39,22.53
103.14,30.03
80.58,23.46
83.7,24.37
98.08,28.55
74.59,21.72
52.97,15.42
94.14,27.41
76.19,22.18
97.33,28.34
113.66,33.09
81.3,23.67
53.41,15.55
112.52,32.76
145.27,42.29
64.34,18.73
75.9,22.1
113.64,33.09
139.51,40.62
120.19,34.99
128.29,37.35
125.6,36.57
143.54,41.79
89.28,25.99
60.61,17.65
94.8,27.6
102.68,29.89
70.86,20.63
138.43,40.3
105.71,30.78
116.98,34.06
71.02,20.68
44.15,12.85
90.44,26.33
110.25,32.1
91.9,26.75
81.02,23.59
108.36,31.55
104.5,30.42
112.03,32.62
79.66,23.19
69.19,20.14
50.39,14.67
119.55,34.81
76.55,22.29
63.69,18.54
73.95,21.53
75.8,22.07
117.07,34.08
60.89,17.73
120.79,35.17
130.44,37.98
94.09,27.39
85.57,24.91
112.27,32.69
71.97,20.95
68.19,19.85
107.47,31.29
90.64,26.39
79.52,23.15
123.49,35.95
65.06,18.94
66.41,19.34
82.84,24.12
74.63,21.73
59.41,17.3
124.76,36.32
88.99,25.91
60.73,17.68
119.96,34.93
100.81,29.35
64.8,18.86
108.22,31.51
77.68,22.62
82.61,24.05
73.88,21.51
67.92,19.77
106.57,31.03
72.02,20.97
106.77,31.08
126.42,36.81
81.64,23.77
82.13,23.91
65.8,19.16
62.55,18.21
81.07,23.6
77.03,22.43
50.46,14.69
57.2,16.65
66.03,19.22
77.44,22.55
60.28,17.55
89.33,26.01
108.45,31.57
150.25,43.74
61.21,17.82
98.07,28.55
61.28,17.84
80.38,23.4
59.82,17.42
128.58,37.43
53.83,15.67
80.26,23.37
118.06,34.37
126.44,36.81
70.79,20.61
54.18,15.78
107.29,31.24
97.92,28.51
53.02,15.43
115.24,33.55
118.44,34.48
79.14,23.04
55.67,16.21
124.55,36.26
53.7,15.63
89.5,26.06
138.46,40.31
71.5,20.82
64.2,18.69
52.28,15.22
85.45,24.88
127.05,36.99
54.6,15.89
77.14,22.46
57.18,16.65
89.04,25.92
87.37,25.44
122.73,35.73
68.51,19.95
86.18,25.09
62.3,18.14
111.14,32.36
86.87,25.29
123.52,35.96
92.63,26.97
123.26,35.89
60.46,17.6
131.06,38.16
73.84,21.5
119.58,34.81
91.65,26.68
85.71,24.95
72.47,21.1
116.44,33.9
81.64,23.77
72.19,21.02
69.35,20.19
137.6,40.06
102.86,29.95
108.31,31.53
90.91,26.47
122.89,35.78
60.77,17.69
114.87,33.44
121.8,35.46
68.24,19.87
60.55,17.63
104.4,30.4
72.99,21.25
119.81,34.88
127.93,37.25
92.83,27.03
99.13,28.86
118.82,34.59
49.71,14.47
63.98,18.63
66.18,19.27
85.59,24.92
119.86,34.9
53.26,15.51
115.45,33.61
120.2,35
48.77,14.2
117.82,34.3
52.32,15.23
69.39,20.2
92.2,26.84
121.98,35.51
76.32,22.22
78.36,22.81
109.62,31.91
95.6,27.83
108.69,31.64
73.85,21.5
70.37,20.49
111.84,32.56
48.65,14.16
70.2,20.44
45.73,13.31
56.27,16.38
140.07,40.78
62.59,18.22
60.15,17.51
76.56,22.29
109.32,31.83
113.54,33.06
60.54,17.63
85.37,24.86
121.78,35.45
85.81,24.98
123.36,35.91
114.48,33.33
87.44,25.46
107.44,31.28
101.53,29.56
67.52,19.66
105.63,30.75
72.58,21.13
61.01,17.76
60.35,17.57
85.32,24.84
97.67,28.43
116.42,33.89
95.08,27.68
112.09,32.63
77.92,22.68
115.87,33.73
86.04,25.05
110.02,32.03
44.99,13.1
145.42,42.34
94.17,27.42
118.7,34.56
118.98,34.64
109.32,31.83
78.88,22.96
67.32,19.6
108.69,31.64
45,13.1
104.69,30.48
84.06,24.47
101.45,29.53
129.62,37.74
86.42,25.16
62.92,18.32
81.54,23.74
121.42,35.35
73.8,21.49
54.61,15.9
86.63,25.22
125.21,36.45
108.53,31.6
84.15,24.5
118.38,34.46
93.26,27.15
58.35,16.99
120.82,35.17
86.97,25.32
48.76,14.19
134.81,39.25
51.78,15.07
102.85,29.94
58.93,17.16
110.24,32.1
62.77,18.27
70.4,20.5
81.83,23.82
101.47,29.54
96.99,28.24
111.19,32.37
66.29,19.3
103.36,30.09
159.18,46.34
124.93,36.37
61.91,18.02
110.74,32.24
113.35,33
113.9,33.16
130.9,38.11
84.25,24.53
68.02,19.8
62.44,18.18
49.11,14.3
61.51,17.91
89.84,26.16
88.38,25.73
78.98,23
98.21,28.59
65.34,19.02
85.63,24.93
65.95,19.2
76.86,22.38
74.14,21.59
72.49,21.1
51.01,14.85
81.94,23.86
63.52,18.49
92.47,26.92
52.6,15.31
116.92,34.04
114.8,33.42
138.68,40.38
68.77,20.02
137.64,40.07
56.62,16.49
100.88,29.37
69.66,20.28
137.08,39.91
118.38,34.46
78.42,22.83
64.9,18.89
136.24,39.66
89.8,26.14
96.94,28.22
66.99,19.5
57.58,16.76
105.56,30.73
59.77,17.4
74.53,21.7
96.68,28.15
100.05,29.13
77,22.42
67.65,19.7
103.23,30.05
85.42,24.87
70.26,20.46
76.5,22.27
84.57,24.62
58.6,17.06
116.27,33.85
130.31,37.94
78.28,22.79
61.47,17.9
131.52,38.29
67.17,19.56
126.19,36.74
60.14,17.51
72.02,20.97
53.86,15.68
67.24,19.58
81.12,23.62
79.92,23.27
72.6,21.14
73.89,21.51
86.31,25.13
106.94,31.13
63.06,18.36
53.73,15.64
70.5,20.53
135.83,39.54
93.66,27.27
75.72,22.05
95.15,27.7
47.2,13.74
82.63,24.06
117.13,34.1
97.19,28.3
113.67,33.09
56.79,16.53
62.74,18.27
78.25,22.78
72.96,21.24
95.22,27.72
71.55,20.83
112.69,32.81
96.24,28.02
144.02,41.93
95.64,27.84
121.67,35.42
77.7,22.62
85.68,24.95
106.96,31.14
129.71,37.76
77.9,22.68
75.64,22.02
69.54,20.24
69.7,20.29
100.69,29.32
117.39,34.18
124.52,36.25
105.32,30.66
66.65,19.4
92.43,26.91
112.28,32.69
87.55,25.49
136.83,39.84
58.27,16.96
70.57,20.54
61.73,17.97
76.65,22.32
88.83,25.86
93.79,27.31
82.13,23.91
78.04,22.72
126.24,36.75
153.7,44.75
86.64,25.22
111.14,32.36
90.87,26.46
74.29,21.63
67.17,19.56
90.93,26.47
67.49,19.65
122.38,35.63
72.15,21
95,27.66
63.07,18.36
103.7,30.19
117.39,34.18
87.51,25.48
65.29,19.01
88.85,25.87
127.51,37.12
95.01,27.66
101.83,29.65
62.28,18.13
86.66,25.23
79.18,23.05
63.67,18.54
129.94,37.83
114.97,33.47
73.63,21.44
70.71,20.59
115.68,33.68
110.58,32.19
59.66,17.37
150.92,43.94
61.41,17.88
87.47,25.47
128.93,37.54
112.89,32.87
67,19.5
86.81,25.27
66.01,19.22
55.71,16.22
136.77,39.82
115.34,33.58
49.88,14.52
101.4,29.52
101.36,29.51
111.02,32.32
101.07,29.43
82.48,24.01
114.87,33.44
145.22,42.28
55.85,16.26
102.06,29.71
76.98,22.41
118.61,34.53
83.16,24.21
98.88,28.79
60.75,17.69
68.22,19.86
131.42,38.26
113.19,32.95
78.02,22.71
113.28,32.98
95.84,27.9
104.43,30.4
129.1,37.59
68.3,19.88
145.28,42.3
66.83,19.46
65.68,19.12
111.16,32.36
135.85,39.55
82.26,23.95
61.73,17.97
68.96,20.08
56.13,16.34
87.24,25.4
88.15,25.66
157.68,45.91
110.75,32.24
71.2,20.73
80.03,23.3
69.11,20.12
124.52,36.25
101.93,29.68
47.52,13.83
69.36,20.19
146.61,42.68
78.02,22.72
67.54,19.66
135.08,39.33
75.49,21.98
53.03,15.44
90.07,26.22
125.37,36.5
75.73,22.05
58.22,16.95
82.58,24.04
89.85,26.16
